"DATE_TIME","GAME","TEAM","PLAYER","SHOT_TYPE","HOME_TEAM","SHOT_CHANGE","SCORE_CHANGE","HOME_SHOT_CHANGE","HOME_SHOT_CUMUL","HOME_SCORE_CHANGE","HOME_SCORE_CUMUL","AWAY_SHOT_CHANGE","AWAY_SHOT_CUMUL","AWAY_SCORE_CHANGE","AWAY_SCORE_CUMUL","TEAM_SCORE_CHANGE","TEAM_SCORE_CUMUL","OPPO_SCORE_CHANGE","OPPO_SCORE_CUMUL","TARGET","WINNER","CLUTCH","FANTASY_POINTS_CHANGE","TOTAL_FP_CUMUL","TOTAL_FP_PCNT","TOTAL_FP_SCALE","PLAYER1_FP_CHANGE","PLAYER1_FP_CUMUL","PLAYER1_FP_SCALE","PLAYER2_FP_CHANGE","PLAYER2_FP_CUMUL","PLAYER2_FP_SCALE","PLAYER3_FP_CHANGE","PLAYER3_FP_CUMUL","PLAYER3_FP_SCALE","PLAYER4_FP_CHANGE","PLAYER4_FP_CUMUL","PLAYER4_FP_SCALE"
"2019-03-15 23:44:03","RR1","NAP & SPOON","RICHO","MISS","NAP & SPOON",1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-03-15 23:44:08","RR1","NAP & SPOON","KAPPAZ","HIT","NAP & SPOON",1,1,1,2,1,1,0,0,0,0,1,1,0,0,10,0,0,11,11,0.0709677419354839,21,0,0,0,11,11,21,0,0,0,0,0,0
"2019-03-15 23:44:27","RR1","NOT 7th & 8th","NAKHLA","MISS","NAP & SPOON",1,0,0,2,0,1,1,1,0,0,0,0,0,1,10,0,0,0,11,0.0709677419354839,21,0,0,0,0,11,21,0,0,0,0,0,0
"2019-03-15 23:44:31","RR1","NOT 7th & 8th","GARTER","MISS","NAP & SPOON",1,0,0,2,0,1,1,2,0,0,0,0,0,1,10,0,0,0,11,0.0709677419354839,21,0,0,0,0,11,21,0,0,0,0,0,0
"2019-03-15 23:44:37","RR1","NAP & SPOON","RICHO","TRICKSHOT MISS","NAP & SPOON",0,0,0,2,0,1,0,2,0,0,0,1,0,0,10,0,0,0,11,0.0709677419354839,21,0,0,0,0,11,21,0,0,0,0,0,0
"2019-03-15 23:44:43","RR1","NAP & SPOON","RICHO","HIT","NAP & SPOON",1,1,1,3,1,2,0,2,0,0,1,2,0,0,10,0,0,12,23,0.148387096774194,45,0,0,0,0,11,22,0,0,0,12,12,23
"2019-03-15 23:44:50","RR1","NAP & SPOON","KAPPAZ","BALLS BACK","NAP & SPOON",1,1,1,4,1,3,0,2,0,0,1,3,0,0,10,0,1,18,41,0.232258064516129,70,0,0,0,18,29,50,0,0,0,0,12,20
"2019-03-15 23:45:07","RR1","NAP & SPOON","RICHO","MISS","NAP & SPOON",1,0,1,5,0,3,0,2,0,0,0,3,0,0,10,0,0,0,41,0.232258064516129,70,0,0,0,0,29,50,0,0,0,0,12,20
"2019-03-15 23:45:15","RR1","NAP & SPOON","RICHO","TRICKSHOT MISS","NAP & SPOON",0,0,0,5,0,3,0,2,0,0,0,3,0,0,10,0,0,0,41,0.232258064516129,70,0,0,0,0,29,50,0,0,0,0,12,20
"2019-03-15 23:45:20","RR1","NAP & SPOON","KAPPAZ","MISS","NAP & SPOON",1,0,1,6,0,3,0,2,0,0,0,3,0,0,10,0,0,0,41,0.232258064516129,70,0,0,0,0,29,50,0,0,0,0,12,20
"2019-03-15 23:45:27","RR1","NOT 7th & 8th","NAKHLA","HIT","NAP & SPOON",1,1,0,6,0,3,1,3,1,1,1,1,0,3,10,0,0,11,52,0.283132530120482,85,0,0,0,0,29,47,11,11,18,0,12,20
"2019-03-15 23:45:40","RR1","NOT 7th & 8th","GARTER","OVERTHROW","NAP & SPOON",1,0,0,6,1,4,1,4,0,1,0,1,1,4,10,0,0,-14,38,0.367469879518072,110,-14,-14,0,0,29,84,0,11,32,0,12,35
"2019-03-15 23:45:54","RR1","NAP & SPOON","RICHO","HIT","NAP & SPOON",1,1,1,7,1,5,0,4,0,1,1,5,0,1,10,0,0,15,53,0.457831325301205,137,0,-14,0,0,29,75,0,11,28,15,27,70
"2019-03-15 23:46:06","RR1","NAP & SPOON","KAPPAZ","BALLS BACK","NAP & SPOON",1,1,1,8,1,6,0,4,0,1,1,6,0,1,10,0,1,21,74,0.55421686746988,166,0,-14,0,21,50,112,0,11,25,0,27,61
"2019-03-15 23:46:39","RR1","NAP & SPOON","RICHO","MISS","NAP & SPOON",1,0,1,9,0,6,0,4,0,1,0,6,0,1,10,0,0,0,74,0.55421686746988,166,0,-14,0,0,50,112,0,11,25,0,27,61
"2019-03-15 23:46:45","RR1","NAP & SPOON","RICHO","TRICKSHOT MISS","NAP & SPOON",0,0,0,9,0,6,0,4,0,1,0,6,0,1,10,0,0,0,74,0.55421686746988,166,0,-14,0,0,50,112,0,11,25,0,27,61
"2019-03-15 23:46:51","RR1","NAP & SPOON","KAPPAZ","MISS","NAP & SPOON",1,0,1,10,0,6,0,4,0,1,0,6,0,1,10,0,0,0,74,0.55421686746988,166,0,-14,0,0,50,112,0,11,25,0,27,61
"2019-03-15 23:46:58","RR1","NOT 7th & 8th","NAKHLA","MISS","NAP & SPOON",1,0,0,10,0,6,1,5,0,1,0,1,0,6,10,0,0,0,74,0.55421686746988,166,0,-14,0,0,50,112,0,11,25,0,27,61
"2019-03-15 23:47:13","RR1","NOT 7th & 8th","NAKHLA","TRICKSHOT MISS","NAP & SPOON",0,0,0,10,0,6,0,5,0,1,0,1,0,6,10,0,0,0,74,0.55421686746988,166,0,-14,0,0,50,112,0,11,25,0,27,61
"2019-03-15 23:47:19","RR1","NOT 7th & 8th","GARTER","MISS","NAP & SPOON",1,0,0,10,0,6,1,6,0,1,0,1,0,6,10,0,0,0,74,0.55421686746988,166,0,-14,0,0,50,112,0,11,25,0,27,61
"2019-03-15 23:47:24","RR1","NAP & SPOON","RICHO","TRICKSHOT MISS","NAP & SPOON",0,0,0,10,0,6,0,6,0,1,0,6,0,1,10,0,0,0,74,0.55421686746988,166,0,-14,0,0,50,112,0,11,25,0,27,61
"2019-03-15 23:47:28","RR1","NAP & SPOON","RICHO","HIT","NAP & SPOON",1,1,1,11,1,7,0,6,0,1,1,7,0,1,10,0,0,17,91,0.656626506024096,197,0,-14,0,0,50,108,0,11,24,17,44,95
"2019-03-15 23:47:32","RR1","NAP & SPOON","KAPPAZ","MISS","NAP & SPOON",1,0,1,12,0,7,0,6,0,1,0,7,0,1,10,0,0,0,91,0.656626506024096,197,0,-14,0,0,50,108,0,11,24,0,44,95
"2019-03-15 23:47:46","RR1","NOT 7th & 8th","NAKHLA","MISS","NAP & SPOON",1,0,0,12,0,7,1,7,0,1,0,1,0,7,10,0,0,0,91,0.656626506024096,197,0,-14,0,0,50,108,0,11,24,0,44,95
